OBJECTID,agency,comments,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,gisacres,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,SHAPE_Length,SHAPE_Area
19,C&L,Event Standard Perims,Unknown,2017/12/28 00:00:00+00,2017-CAVNC-103156,2017,THOMAS,CAVNC,2017/12/27 18:01:00+00,281893.7569724,,LH77,,CAVNC,CA,5670,103156,{943D8086-7DF4-47C7-BB98-A358E962667E},N,,4.42500496911263,0.111908502502978
110,C&L,Event Standard Perims,Unknown,2018/01/08 00:00:00+00,2017-CAVNC-103156,2017,THOMAS,CAVNC,2018/01/07 00:00:00+00,281795.83235494,,LH77,,CAVNC,CA,5670,103156,{943D8086-7DF4-47C7-BB98-A358E962667E},N,,4.47425071357965,0.111869623591328
220,State Agency,,,2015/08/15 00:00:00+00,2015-CALNU-006984,2015,Rocky,,2015/08/14 20:39:00+00,69438.16761211,,J0ED,,CALNU,CA,4451,006984,{CFB03B6A-5E58-4783-BCAD-900BB5733A75},N,,1.38951340364281,0.0291981501511198
245,USFS,IR heat perimeter,Infrared Image,2014/10/14 00:00:00+00,2014-CAKNF-005511,2014,White,,2014/10/13 23:25:00+00,33795.09298726,July Complex,,{783CC596-005C-4AAD-ACC3-DFD66940D92A},CAKNF,CA,4035,005511,{262F80D9-C5D3-42C2-8F27-BD0299906920},Y,H9BU,1.38157911571392,0.0147066233330412
590,CDF,Pulled from EGP REST Service,Mixed Methods,2018/08/18 05:05:27+00,2018-CAMEU-008674,2018,River,CAMEU,2018/08/17 14:38:35+00,48920.39969523,Mendocino Complex,L1WH,{E5297875-5551-479A-B839-93B16FF4EE6E},CAMEU,CA,,008674,{E5297875-5551-479A-B839-93B16FF4EE6E},Y,,1.00018866451944,0.0206022665792219
609,USFS,,Mixed Methods,2017/08/13 00:00:00+00,2017-CAMDF-000776,2017,STEELE,CAMDF,2017/08/13 02:48:00+00,46996.95865822,,,,CAMDF,CA,,000776,{689EFA25-1FA1-40B2-B841-FC00EBF24272},N,,1.67120233867326,0.0206307659773493
739,CDF,Final,Mixed Methods,2018/11/26 00:00:00+00,2018-CABTU-016737,2018,CAMP,CAPNF,2018/11/25 18:21:59+00,153335.56547604,,L6BH,,CABTU,CA,6250,016737,{75E64DB8-9B75-4A68-BEDD-67CC62658E38},N,,3.19282621074084,0.0652120855860593
841,USFS,IR heat perimeter,Infrared Image,2015/10/15 00:00:00+00,2015-CASHF-002164,2015,Johnson,,2015/10/14 21:13:00+00,34030.39545385,Route Complex,,{36388BE6-16C8-4DB1-8A0F-694429AC7633},CASRF,CA,4447,002164,{66B9D77E-31BD-487B-A480-CBE79B8B0AB2},Y,J0N7,1.31249007781035,0.0146513767592324
866,CDF,,Mixed Methods,2017/07/15 00:00:00+00,2017-CASLU-007624,2017,ALAMO,CASLU,2017/07/15 00:00:00+00,28833.52402947,,K4J1,,CASLU,CA,,007624,{08D1626D-4EBA-47C0-ABBE-878DE60CA985},N,,0.951753806771211,0.0115173789806113
1008,State Agency,IR heat perimeter,Infrared Image,2015/10/01 00:00:00+00,2015-CALNU-008670,2015,Valley,,2015/10/01 01:02:00+00,76209.06264924,,J3H8,,CALNU,CA,,008670,{1ECD4627-2DD5-44C6-AFD3-CD12F6C69AC5},N,,2.52552134877824,0.0319752032180952
1100,CDF,WFDSS,Infrared Image,2017/08/01 00:00:00+00,2017-CAMMU-014474,2017,DETWILER,CACND,2017/07/31 06:00:00+00,81826.14389451,,K5UN,,CAMMU,CA,,014474,{DAEE9426-6AB2-4B81-A275-87E37F44984E},N,,1.9632903286591,0.0337732822431205
1257,USFS,,Infrared Image,2017/08/13 00:00:00+00,2017-CAMDF-000722,2017,COVE,CAMDF,2017/08/13 03:45:00+00,30771.91581303,,,,CAMDF,CA,,000722,{3C266349-EE7D-4DD0-9399-EDAB732BD09A},N,,0.718208100784095,0.0133840830650612
1371,CDF,NIFC FTP,Infrared Image,2018/07/12 00:00:00+00,2018-CALNU-009502,2018,COUNTY,CALNU,2018/07/11 22:30:00+00,89836.72433614,,LXS9,,CALNU,CA,5885,009502,{CCE570A7-083A-4BDB-9D53-FB97A6125D8E},N,,1.7237729696817,0.0376274009421223
1681,USFS,IR heat perimeter,Infrared Image,2015/09/21 00:00:00+00,2015-CASHF-002082,2015,Pattison,,2015/09/20 20:23:00+00,29410.23450056,South Complex,,{A0137E64-0D0C-4327-9B15-B7F625775E06},CASHF,CA,4442,002082,{B09ECB62-6483-4F8A-9943-99863E39FA5D},Y,J0MZ,1.39024634809965,0.0126780343507782
