OBJECTID,YEAR_,STATE,FIRE_NAME,GIS_ACRES,SHAPE_Length,SHAPE_Area,,,,,,,,,
21440,2020,CA,NELSON,109.60228,4179.743142,733134.6985,,,,,,,,,
21441,2020,CA,AMORUSO,685.58502,12399.37539,4578171.899,,,,,,,,,
21442,2020,CA,ATHENS,27.30048,2119.19412,182387.6404,,,,,,,,,
21443,2020,CA,FLEMING,12.931545,2029.524881,86679.4234,,,,,,,,,
21444,2020,CA,MELANESE,10.315964,1342.742903,70179.12235,,,,,,,,,
21445,2020,CA,PFE,36.701931,3012.198354,244431.5169,,,,,,,,,
21446,2020,CA,VALLEY,376.9104,9803.350364,2538316.863,,,,,,,,,
21447,2020,CA,WALDO,10.102212,1425.986342,68043.04137,,,,,,,,,
21448,2020,CA,WILLOW,33.973888,2477.151815,230549.7851,,,,,,,,,
21449,2020,CA,WILLOWS,1309.09,15221.41054,8877495.807,,,,,,,,,
21450,2020,CA,DYER,194.66029,7757.246838,1296860.608,,,,,,,,,
21451,2020,CA,FARRIER,22.634298,1693.89813,150787.4306,,,,,,,,,
21452,2020,CA,FIELDS,55.328434,3143.530999,373125.2464,,,,,,,,,
21453,2020,CA,JONES,705.54602,15226.05477,4770841.804,,,,,,,,,
21454,2020,CA,PAVE PAWS,532.77332,10122.68925,3589054.985,,,,,,,,,
21455,2020,CA,RIOSA,13.694717,1743.670874,91856.85007,,,,,,,,,
21456,2020,CA,NELSON,103.33157,5758.364508,703657.6394,,,,,,,,,
21458,2020,CA,5-4 POTTERS ,925.40186,16613.48391,6307904.036,,,,,,,,,
21459,2020,CA,5-6 CASCADE CREEK,260.17557,7022.574927,1780346.91,,,,,,,,,
21460,2020,CA,TEDDY,13.279565,1648.633067,90049.4963,,,,,,,,,
21461,2020,CA,COAST,20.2083,1702.000922,128343.1706,,,,,,,,,
21462,2020,CA,CZU LIGHTNING COMPLEX,86553.461,255052.1933,552318495.8,,,,,,,,,
21463,2020,CA,OAK,1146.4658,18184.11758,7799786.214,,,,,,,,,
21464,2020,CA,CREEK,834.2442,12821.81315,5727850.424,,,,,,,,,
21465,2020,CA,19-Mar,65.008545,2611.286609,439629.1071,,,,,,,,,
21466,2020,CA,VINEYARD,150.49449,5675.645916,1007057.355,,,,,,,,,
21467,2020,CA,MINA,158.86919,5106.029786,1091466.034,,,,,,,,,
21468,2020,CA,BEAR,10.473744,1526.389401,73476.6103,,,,,,,,,
21469,2020,CA,REDWOOD,101.40028,3753.852905,711099.6237,,,,,,,,,
21470,2020,CA,GRIZZLY,155.27298,6540.583641,1064278.577,,,,,,,,,
21471,2020,CA,BEEGUM,181.44044,10696.81651,1264981.537,,,,,,,,,
21472,2020,CA,8-Apr,278.00998,8954.967188,1891689.639,,,,,,,,,
21473,2020,CA,ELK,730.48138,12016.13872,4982413.337,,,,,,,,,
21474,2020,CA,RED,26.40666,2684.268887,182659.8735,,,,,,,,,
21475,2020,CA,MINE,11.07413,1825.22881,77436.89297,,,,,,,,,
21476,2020,CA,AVOCADO,137.58138,4076.504034,933389.975,,,,,,,,,
21477,2020,CA,HONCUT,88.185837,4162.198454,597747.5029,,,,,,,,,
21478,2020,CA,GRAND,31.061085,3068.50147,211492.5058,,,,,,,,,
21479,2020,CA,PARK FIRE,24.097841,2020.079466,141579.5073,,,,,,,,,
21480,2020,CA,SILVERADO,12469.206,65362.59357,73125983.46,,,,,,,,,
21481,2020,CA,BLUE RIDGE,13694.532,65838.87538,80671871.27,,,,,,,,,
21482,2020,CA,BOND,6681.0986,52771.36548,39200475.4,,,,,,,,,
21483,2020,CA,CLARK,106.78496,5533.236416,729464.8671,,,,,,,,,
21484,2020,CA,DULUTH,71.949944,5784.257079,480239.2076,,,,,,,,,
21485,2020,CA,KARCHNER,30.024942,1974.730536,201532.5878,,,,,,,,,
21486,2020,CA,SIMPSON,28.574575,1971.429707,192491.0701,,,,,,,,,
21487,2020,CA,WATT,39.866062,3532.947958,265518.1792,,,,,,,,,
21488,2020,CA,LOCUST,15.859506,1604.873418,105708.1605,,,,,,,,,
21489,2020,CA,GARDEN,49.008781,3611.378663,334118.9326,,,,,,,,,
21490,2020,CA,FEATHER,14.740744,1522.437471,100343.8994,,,,,,,,,
21491,2020,CA,BADGER,557.30609,13506.56665,4060376.107,,,,,,,,,
21492,2020,CA,MINER,23.13611,2899.109655,166418.5277,,,,,,,,,
21493,2020,CA,JENNY 2-3,14.637078,1594.562538,107366.6792,,,,,,,,,
21494,2020,CA,SCHOOLHOUSE,37.064037,2367.926695,269098.1405,,,,,,,,,
21495,2020,CA,TOWNSEND,13.730427,1808.098667,99819.97967,,,,,,,,,
21496,2020,CA,SHACKLEFORD,37.650269,2903.044779,272468.9427,,,,,,,,,
21497,2020,CA,MOC,2857.6055,24671.34816,18547049.61,,,,,,,,,
21498,2020,CA,SALT,1593.7322,16443.51696,10403242.59,,,,,,,,,
21499,2020,CA,WALKER,1398.0038,19226.90335,9143297.869,,,,,,,,,
21500,2020,CA,BAKER,165.17973,7573.073402,1006161.88,,,,,,,,,
21501,2020,CA,BENA,2884.4102,21314.972,17566953.15,,,,,,,,,
21502,2020,CA,FLAT,40.127972,3515.808805,244002.3848,,,,,,,,,
21503,2020,CA,COMANCHE,66.156052,4069.537767,401194.1547,,,,,,,,,
21504,2020,CA,SHEEP,233.05606,7205.225392,1413545.791,,,,,,,,,
21505,2020,CA,RESERVE,11.500824,1757.170789,70018.63708,,,,,,,,,
21506,2020,CA,JOHNSON,38.07296,2953.056531,230876.136,,,,,,,,,
21507,2020,CA,SODA,421.46991,8257.52921,2545329.887,,,,,,,,,
21508,2020,CA,WOODY,90.521912,3524.333234,555702.7011,,,,,,,,,
21509,2020,CA,BLUE,19.949446,1994.094611,120367.2063,,,,,,,,,
21510,2020,CA,SHERWOOD,44.598595,2299.939726,273941.7967,,,,,,,,,
21511,2020,CA,VISTA ,34.717957,2535.847867,210541.7461,,,,,,,,,
21512,2020,CA,GARCES,10.845668,1328.693797,66796.20806,,,,,,,,,
21513,2020,CA,LILAC,52.846813,3232.548108,320521.6258,,,,,,,,,
21514,2020,CA,WATER,22.270731,2196.957677,134343.5957,,,,,,,,,
21515,2020,CA,STAGECOACH,7750.6372,46920.3382,47373861.85,,,,,,,,,
21516,2020,CA,HUNTERS,82.140099,4659.651118,530471.3819,,,,,,,,,
21517,2020,CA,PASS,2163.6978,16695.52567,13770400.12,,,,,,,,,
21518,2020,CA,POWER,151.54947,5184.749506,967344.6758,,,,,,,,,
21519,2020,CA,BEN,48.125347,2971.192793,309356.2399,,,,,,,,,
21520,2020,CA,HENSLEY,398.48148,14750.30341,2538309.842,,,,,,,,,
21521,2020,CA,FRANCISCAN,15.779857,2337.834049,110504.7262,,,,,,,,,
21522,2020,CA,BAR,57.785629,6053.002952,406463.1374,,,,,,,,,
21523,2020,CA,LEOPARD,16.629004,2867.553878,116484.6804,,,,,,,,,
21524,2020,CA,DRUM,695.47058,18011.62011,4167186.653,,,,,,,,,
21525,2020,CA,TWITCHELL,28.684549,3330.00789,173213.1077,,,,,,,,,
21526,2020,CA,BALLARD,17.297138,2112.363662,103688.5018,,,,,,,,,
21527,2020,CA,GAREY,12.152788,2428.688985,73228.83023,,,,,,,,,
21528,2020,CA,PLATINA,339.46661,9206.192733,2374022.109,,,,,,,,,
21529,2020,CA,ROSA,13.274441,1973.219331,93994.50653,,,,,,,,,
21530,2020,CA,SPRINGS,10.299823,1425.501396,72441.70567,,,,,,,,,
21531,2020,CA,PINES,15.737025,1828.767568,109947.4238,,,,,,,,,
21532,2020,CA,BRUDER,169.54852,5739.959449,1001062.045,,,,,,,,,
21533,2020,CA,HOLLISTER,157.01782,5267.798345,937233.6867,,,,,,,,,
21534,2020,CA,KIRSCHEMANN,28.751392,1724.029761,173394.8574,,,,,,,,,
21535,2020,CA,VIEW,77.059242,3887.79851,461807.9616,,,,,,,,,
21536,2020,CA,GATO,10.235489,1351.126874,61602.99037,,,,,,,,,
21537,2020,CA,LITO,25.822441,1976.451964,154580.9361,,,,,,,,,
21538,2020,CA,DUTARD,13.633389,1360.382138,82188.73173,,,,,,,,,
21539,2020,CA,CLARK,18.829184,2217.942008,113445.0468,,,,,,,,,
21540,2020,CA,HUASNA,47.429596,3280.433226,287161.2896,,,,,,,,,
21541,2020,CA,SODA,1653.1144,19675.84924,10073813.34,,,,,,,,,
21542,2020,CA,AVILA,434.29105,15280.53623,2636154.882,,,,,,,,,
21543,2020,CA,GAGE,33.055237,3411.537511,203234.3549,,,,,,,,,
21544,2020,CA,LAKE,567.00629,14090.65428,3459823.315,,,,,,,,,
21545,2020,CA,SODA,152.58662,4996.199946,928273.8171,,,,,,,,,
21546,2020,CA,RIATA,15.232535,1633.05767,92896.53048,,,,,,,,,
21547,2020,CA,BERRY,24.214361,2849.763563,148446.5504,,,,,,,,,
21548,2020,CA,BRANCH,2922.2039,37572.32948,17791770.35,,,,,,,,,
21549,2020,CA,II-2,64.875885,3325.652852,392548.3921,,,,,,,,,
21550,2020,CA,CARRIZO,184.91742,4863.026813,1126390.383,,,,,,,,,
21551,2020,CA,TOPAZ,157.11494,5750.035587,958376.7747,,,,,,,,,
21552,2020,CA,POND,1962.3289,27175.70695,11977219.34,,,,,,,,,
21553,2020,CA,HUTTON,22.70941,2046.486098,137253.6427,,,,,,,,,
21554,2020,CA,CRESTA BLANCA,18.424768,1440.234946,112122.358,,,,,,,,,
21555,2020,CA,JUAN,33.282143,2251.941808,203983.5877,,,,,,,,,
21556,2020,CA,PASS,323.17609,10759.2126,1991152.851,,,,,,,,,
21557,2020,CA,III_2,20.434998,1838.694102,125110.8434,,,,,,,,,
21558,2020,CA,WHALE,322.33667,6142.230578,1972454.319,,,,,,,,,
21559,2020,CA,PLACER,53.15897,2960.151717,324301.1327,,,,,,,,,
21560,2020,CA,ZOGG,56338.051,190609.1699,393993433.3,,,,,,,,,
21561,2020,CA,POINT,276.65826,9622.195991,1931390.71,,,,,,,,,
21562,2020,CA,GRADE,1050.2405,13592.22281,6599440.181,,,,,,,,,
21563,2020,CA,FORKS,117.23483,5251.157509,733209.3717,,,,,,,,,
21564,2020,CA,SPRINGS,223.88686,6273.755132,1381668.37,,,,,,,,,
21565,2020,CA,PITZER,118.78046,5085.815638,707587.0671,,,,,,,,,
21566,2020,CA,MENTONE,47.27253,3559.136297,279545.0983,,,,,,,,,
21567,2020,CA,INWOOD,10.819821,1545.979983,75886.60554,,,,,,,,,
21568,2020,CA,DERSCH,133.29955,9483.093424,933421.0888,,,,,,,,,
21569,2020,CA,GRANT FIRE,5062.1978,31944.67194,33560841.77,,,,,,,,,
21570,2020,CA,CRONAN FIRE,28.271208,1949.28488,188749.9945,,,,,,,,,
21571,2020,CA,RIDGE,17.105452,2050.818243,119773.0977,,,,,,,,,
21572,2020,CA,CLAY FIRE,740.1123,15488.66036,4886122.665,,,,,,,,,
21573,2020,CA,MEISS FIRE,509.14716,10408.34868,3365238.547,,,,,,,,,
21574,2020,CA,DEN,42.875164,2238.833309,264731.4204,,,,,,,,,
21575,2020,CA,FRONTIER,21.708698,1565.048464,137924.5996,,,,,,,,,
21576,2020,CA,GATOS,31.958984,2149.264853,199029.6346,,,,,,,,,
21577,2020,CA,HILLS,44.138958,3468.796414,278570.2862,,,,,,,,,
21578,2020,CA,HILLS,2120.9802,20374.51688,13134178.91,,,,,,,,,
21579,2020,CA,KINGS,65.946091,3621.588375,416526.9851,,,,,,,,,
21580,2020,CA,MINERAL,29666.955,113981.4023,184633612.4,,,,,,,,,
21581,2020,CA,SUTTER,26.958984,1946.584466,167316.2391,,,,,,,,,
21582,2020,CA,SYCAMORE,26.592453,2418.989114,168936.4056,,,,,,,,,
21583,2020,CA,THERMAL,11.4255,1779.664104,72166.09202,,,,,,,,,
21584,2020,CA,TODD,13.096781,1596.150515,82632.56773,,,,,,,,,
21585,2020,CA,TAR,20.488293,1688.988884,126743.3566,,,,,,,,,
21586,2020,CA,MURPHY FIRE,13.251124,1534.422293,88455.0044,,,,,,,,,
21587,2020,CA,COPPER FIRE,46.583408,3134.084533,308142.8979,,,,,,,,,
21588,2020,CA,CAMERON FIRE,14.426042,2402.690167,95882.9711,,,,,,,,,
21589,2020,CA,LIBERTY FIRE,88.692551,6146.408183,582786.9949,,,,,,,,,
21590,2020,CA,LAMBERT FIRE,21.816267,1873.866967,144216.9361,,,,,,,,,
21591,2020,CA,CROSS,24.49597,2109.645491,151625.8548,,,,,,,,,
21592,2020,CA,BROWN,18.353296,1399.693051,116118.1537,,,,,,,,,
21593,2020,CA,BOOMER,10.929889,1436.730064,69080.48605,,,,,,,,,
21594,2020,CA,BRADLEY,230.35477,5835.150037,1424371.092,,,,,,,,,
21595,2020,CA,CARMEL,6996.9443,55600.12332,43813350.6,,,,,,,,,
21596,2020,CA,COPPERHEAD,22.668116,1915.848542,139948.1661,,,,,,,,,
21597,2020,CA,CIRCLE,32.202072,2582.135487,200531.3735,,,,,,,,,
21598,2020,CA,COYOTE,1485.0753,16996.49701,9360859.627,,,,,,,,,
21599,2020,CA,FRUDDEN,43.211426,2652.845246,267048.2988,,,,,,,,,
21600,2020,CA,JOHNSON,39.919762,2822.623525,250837.1068,,,,,,,,,
21601,2020,CA,JULIUS,21.768515,2165.334368,135336.3188,,,,,,,,,
21602,2020,CA,METZ,33.091808,3239.205524,207268.7061,,,,,,,,,
21603,2020,CA,RICO,338.13959,7785.799561,2094725.052,,,,,,,,,
21604,2020,CA,RIVER,50213.816,188233.1559,314948093.9,,,,,,,,,
21605,2020,CA,VISTA,27.802195,2666.986283,176097.0886,,,,,,,,,
21606,2020,CA,STAGE,51.160126,3336.97263,322586.0845,,,,,,,,,
21607,2020,CA,BITTERWATER,210.54364,6469.821062,1313615.375,,,,,,,,,
21608,2020,CA,BITTER,895.40442,12797.67401,5605739.706,,,,,,,,,
