OBJECTID,YEAR_,STATE,GIS_ACRES,SHAPE_Length,SHAPE_Area
42453,2019,CA,10042.459,66055.59526,59718543.84
42454,2019,CA,1806.2338,30918.43617,10729257.7
42455,2019,CA,171.41829,6473.679149,1017353.609
42456,2019,CA,131.31725,3413.749253,781530.2023
42457,2019,CA,11.119761,1302.49424,65878.53153
42458,2019,CA,510.1355,11259.86473,3468134.746
42459,2019,CA,57.447403,2715.225943,390788.9067
42460,2019,CA,754.42572,11193.45913,4726905.292
42461,2019,CA,355.32288,13024.55379,2129982.652
42462,2019,CA,420.6586,8608.857864,2510906.668
42463,2019,CA,51.626499,3828.806818,309784.6626
42464,2019,CA,16.980272,1363.543991,101744.9439
42465,2019,CA,3332.4309,23920.51947,20496944.29
42466,2019,CA,169.90308,5634.199847,1027203.531
42467,2019,CA,14.535879,1852.820751,89493.08307
42468,2019,CA,53.310265,2563.561676,326539.3812
42469,2019,CA,55.861351,3353.226177,343362.5798
42470,2019,CA,13.336489,1904.126086,81958.83421
42471,2019,CA,2.8977313,1283.329643,17826.32531
42472,2019,CA,4.6533341,979.7386358,28577.60169
42473,2019,CA,38.805553,2135.89662,234588.3857
42474,2019,CA,227.00946,4884.861765,1392801.256
42475,2019,CA,61.079914,3731.084976,374630.2898
42476,2019,CA,53.116959,2300.327421,355945.7237
42477,2019,CA,73.550552,4075.062401,494834.8159
42478,2019,CA,77762.141,238568.8564,517112590.7
42479,2019,CA,526.85785,8792.307891,3455730.122
42480,2019,CA,48.001408,2459.131546,317321.464
42481,2019,CA,16.01936,1659.022435,105923.4115
42482,2019,CA,15.837549,1439.199565,106871.8674
42483,2019,CA,23.919117,3201.102931,160123.8809
42484,2019,CA,2422.0176,29141.56654,16208267.48
42485,2019,CA,0.72189164,344.6026671,4188.986736
42486,2019,CA,31.554823,2845.928395,180842.6132
42487,2019,CA,225.64603,5995.591629,1295359.34
42488,2019,CA,1.677516,397.073068,9740.790577
42489,2019,CA,22.021397,1783.640026,127906.6205
42490,2019,CA,141.95477,4998.246497,815045.8253
42491,2019,CA,27.519762,1697.846028,157390.1929
42492,2019,CA,16.695576,1569.032842,95880.92567
42493,2019,CA,6.311408,972.6851795,36342.87064
42494,2019,CA,1.2310616,360.6182943,7137.68825
42495,2019,CA,7.2261381,1140.926575,41972.59107
42496,2019,CA,29.260406,2880.478284,169825.453
42497,2019,CA,467.1911,9529.82405,2669324.157
42498,2019,CA,57.422035,4096.485554,330365.3812
42499,2019,CA,29.537264,2252.183835,169093.5126
42500,2019,CA,23.3554,2590.485492,133420.3808
42501,2019,CA,25.536137,2667.35596,148042.7287
42502,2019,CA,371.35593,7206.468481,2121411.334
42503,2019,CA,67.372292,3324.028166,384982.9288
42504,2019,CA,11.862469,1262.914645,67767.60363
42505,2019,CA,101.16784,4226.767654,584374.4921
42506,2019,CA,84.323441,3606.927863,556061.3927
42507,2019,CA,13.1878,1466.322158,87888.91277
42508,2019,CA,21.851107,2389.700422,144765.1094
42509,2019,CA,17.788284,1692.280105,117878.392
42510,2019,CA,85.596687,5463.740428,572850.1826
42511,2019,CA,10.239115,1736.751973,67449.02207
42512,2019,CA,10.667637,1588.896638,70145.51052
42513,2019,CA,34.914864,2336.71483,232061.6952
42514,2019,CA,2.438375,557.8830897,16179.10555
42515,2019,CA,64.951561,3371.729607,411319.1472
42516,2019,CA,50.139587,3884.371751,309407.8612
42517,2019,CA,120.64044,4204.886186,760502.4347
42518,2019,CA,13.748615,1419.47982,85633.46258
42519,2019,CA,137.21513,4629.541983,854951.2614
42520,2019,CA,103.76073,3663.012411,640445.1402
42521,2019,CA,138.99321,3933.210812,862678.6334
42522,2019,CA,12.201762,1336.616093,75771.48025
42523,2019,CA,13.842192,1416.195393,87287.91526
42524,2019,CA,29.09276,2091.360944,183528.9961
42525,2019,CA,15.022148,1819.646344,93461.90005
42526,2019,CA,37.669304,3051.300778,234734.8871
42527,2019,CA,89.734077,3027.611315,559334.5567
42528,2019,CA,14.614889,1738.869889,91061.90068
42529,2019,CA,44.811226,2913.85727,282817.6651
42530,2019,CA,15.943653,1683.181418,98283.62893
42531,2019,CA,13.478957,1625.998544,85801.23409
42532,2019,CA,160.91243,6794.079424,991829.9183
42533,2019,CA,61.305656,3068.880052,381406.9354
42534,2019,CA,13.473977,1126.270892,83494.60051
42535,2019,CA,32.386257,2222.039834,199654.7907
42536,2019,CA,10.376249,1597.54748,64113.58133
42537,2019,CA,74.504112,2690.15333,460529.1952
42538,2019,CA,42.759003,2452.507979,264541.8592
